target_id	length	eff_length	est_counts	tpm
XM_014742228.1	1554	1292	31.1408	1.41108
XM_014742229.1	6556	6294	281.699	2.62025
XM_014742230.1	4471	4209	0	0
XM_014742231.1	4411	4149	34.8565	0.491842
XM_014742232.1	4408	4146	4.99389	0.070517
XM_014742233.1	4891	4629	361.337	4.56994
XM_014742234.1	4493	4231	118.282	1.63666
XM_014742235.1	4485	4223	113.646	1.5755
XM_014742236.1	3695	3433	96	1.63712
XM_014742237.1	1518	1256	9.63192	0.44896
XM_014742238.1	3386	3124	2862.46	53.643
XM_014742239.1	5072	4810	0	0
XM_014742240.1	4807	4545	12.0186	0.154812
XM_014742241.1	4821	4559	17.7548	0.227998
XM_014742242.1	4775	4513	0	0
XM_014742243.1	4772	4510	0	0
XM_014742244.1	4862	4600	19.8516	0.252652
XM_014742245.1	4558	4296	19.0966	0.260241
XM_014742246.1	4654	4392	0	0
XM_014742247.1	5293	5031	852.858	9.92446
XM_014742248.1	5313	5051	146.828	1.70183
XM_014742249.1	4567	4305	128.345	1.74538
XM_014742250.1	4345	4083	254.276	3.64594
XM_014742251.1	7242	6980	749.843	6.28926
XM_014742252.1	781	519.019	4	0.451192
XM_014742253.1	7131	6869	259.386	2.21074
XM_014742254.1	7168	6906	183.049	1.55177
XM_014742255.1	3032	2770	242.466	5.12454
XM_014742256.1	2703	2441	925.03	22.1857
XM_014742257.1	4261	3999	89.7382	1.31374
XM_014742258.1	2579	2317	691	17.4597
XM_014742259.1	2635	2373	587	14.4819
XM_014742260.1	595	333.143	0	0
XM_014742261.1	1661	1399	223	9.33193
XM_014742262.1	1886	1624	324.262	11.6895
XM_014742263.1	2997	2735	286	6.122
XM_014742264.1	8489	8227	1502.24	10.6901
XM_014742265.1	6058	5796	505.048	5.10139
XM_014742266.1	7981	7719	344.913	2.61597
XM_014742267.1	8003	7741	0	0
XM_014742268.1	8071	7809	319.271	2.39358
XM_014742269.1	8038	7776	363.454	2.73639
XM_014742270.1	7972	7710	119.588	0.90807
XM_014742271.1	7966	7704	0	0
XM_014742272.1	1397	1135	0	0
XM_014742273.1	7858	7596	0.0245445	0.000189171
XM_014742274.1	7843	7581	155.527	1.20106
XM_014742275.1	2899	2637	620.115	13.7672
XM_014742276.1	2982	2720	0	0
XM_014742277.1	3017	2755	375.806	7.98594
XM_014742278.1	2715	2453	1036.08	24.7275
XM_014742279.1	4101	3839	529.462	8.07423
XM_014742280.1	3880	3618	0.00206993	3.34944e-05
XM_014742281.1	3871	3609	8.66691e-07	1.40592e-08
XM_014742282.1	3862	3600	248.806	4.04615
XM_014742283.1	3853	3591	0.117901	0.00192215
XM_014742284.1	3988	3726	0.0153017	0.000240426
XM_014742285.1	4349	4087	145.788	2.08834
XM_014742286.1	3979	3717	0.00498929	7.85833e-05
XM_014742287.1	4290	4028	1275	18.5313
XM_014742288.1	4341	4079	217.343	3.11944
XM_014742289.1	3970	3708	1145.63	18.0879
XM_014742290.1	3961	3699	418.294	6.62036
XM_014742291.1	821	559.019	379	39.6915
XM_014742292.1	2677	2415	1011	24.5086
XM_014742293.1	2670	2408	3237	78.6992
XM_014742294.1	2544	2282	4018.78	103.101
XM_014742295.1	2486	2224	294.225	7.74513
XM_014742296.1	1436	1174	645	32.1645
XM_014742297.1	1753	1491	60	2.35591
XM_014742298.1	1299	1037	6186	349.233
XM_014742299.1	3917	3655	149.784	2.39917
XM_014742300.1	1091	828.999	998	70.4791
XM_014742301.1	1315	1053	568	31.5794
XM_014742302.1	6470	6208	132.003	1.24485
XM_014742303.1	6345	6083	247.919	2.38603
XM_014742304.1	5857	5595	60.0779	0.628636
XM_014742305.1	2013	1751	301.098	10.0671
XM_014742306.1	1341	1079	256.902	13.939
XM_014742307.1	3657	3395	0	0
XM_014742308.1	2104	1842	858	27.2698
XM_014742309.1	4576	4314	738.822	10.0264
XM_014742310.1	7688	7426	374	2.9485
XM_014742311.1	1983	1721	0	0
XM_014742312.1	2301	2039	193	5.54146
XM_014742313.1	2034	1772	0	0
XM_014742314.1	3170	2908	133	2.67757
XM_014742315.1	626	364.074	659	105.969
XM_014742316.1	3031	2769	0	0
XM_014742317.1	2378	2116	1081.55	29.9237
XM_014742318.1	2658	2396	1151.45	28.1347
XM_014742319.1	3246	2984	1143.43	22.4334
XM_014742320.1	3243	2981	959.57	18.8451
XM_014742321.1	2681	2419	244.577	5.91921
XM_014742322.1	2952	2690	36.507	0.794525
XM_014742323.1	2567	2305	48.9164	1.24242
XM_014742324.1	2297	2035	494.51	14.2264
XM_014742325.1	3118	2856	13.5647	0.278058
XM_014742326.1	2083	1821	27.4899	0.883787
XM_014742327.1	1375	1113	269	14.1495
XM_014742328.1	1082	819.999	648	46.2643
XM_014742329.1	3506	3244	25.6217	0.462393
XM_014742330.1	3503	3241	0	0
XM_014742331.1	3479	3217	540.378	9.83402
XM_014742332.1	1816	1554	1080	40.6871
XM_014742333.1	1920	1658	187	6.603
XM_014742334.1	3534	3272	90.9097	1.6266
XM_014742335.1	2545	2283	348	8.92396
XM_014742336.1	633	371.074	235	37.0759
XM_014742337.1	1711	1449	517.986	20.9283
XM_014742338.1	1574	1312	72.0144	3.21344
XM_014742339.1	2200	1938	674	20.3606
XM_014742340.1	1676	1414	526	21.7781
XM_014742341.1	868	605.999	3	0.289823
XM_014742342.1	3491	3229	426	7.72371
XM_014742343.1	1296	1034	606.231	34.3243
XM_014742344.1	1349	1087	112.769	6.0736
XM_014742345.1	1863	1601	516.357	18.8818
XM_014742346.1	2315	2053	1137	32.4232
XM_014742347.1	1228	965.999	0	0
XM_014742348.1	1216	953.999	0	0
XM_014742349.1	1189	926.999	0	0
XM_014742350.1	1177	914.999	0	0
XM_014742351.1	1129	866.999	0	0
XM_014742352.1	1090	827.999	10	0.707057
XM_014742353.1	4864	4602	122	1.55202
XM_014742354.1	4389	4127	847.343	12.0201
XM_014742355.1	2275	2013	1493	43.4211
XM_014742356.1	927	664.999	146	12.8533
XM_014742357.1	1208	945.999	196.277	12.1468
XM_014742358.1	2753	2491	0	0
XM_014742359.1	573	311.197	137.285	25.8268
XM_014742360.1	849	586.999	0.5	0.0498674
XM_014742361.1	849	586.999	0.5	0.0498674
XM_014742362.1	1641	1379	1	0.0424542
XM_014742363.1	1295	1033	354	20.0626
XM_014742364.1	1418	1156	126	6.38112
XM_014742365.1	1507	1245	7	0.329165
XM_014742366.1	1145	882.999	0	0
XM_014742367.1	3850	3588	0	0
XM_014742368.1	3851	3589	9.00369	0.146869
XM_014742369.1	3513	3251	633.195	11.4026
XM_014742370.1	3441	3179	59.9424	1.1039
XM_014742371.1	1483	1221	194.944	9.34712
XM_014742372.1	3442	3180	0	0
XM_014742373.1	3854	3592	13.4662	0.219478
XM_014742374.1	3842	3580	225.479	3.68729
XM_014742375.1	3261	2999	24.7585	0.483317
XM_014742376.1	3240	2978	0	0
XM_014742377.1	3762	3500	26.6085	0.445079
XM_014742378.1	844	581.999	542.715	54.5926
XM_014742379.1	5477	5215	0.0728699	0.000818046
XM_014742380.1	5247	4985	88.0421	1.03397
XM_014742381.1	1482	1220	208.881	10.0236
XM_014742382.1	5228	4966	31.6011	0.372545
XM_014742383.1	5474	5212	49.4419	0.55536
XM_014742384.1	1854	1592	1561	57.4043
XM_014742385.1	3486	3224	38.5252	0.699575
XM_014742386.1	2859	2597	21.5448	0.485685
XM_014742387.1	3306	3044	0	0
XM_014742388.1	3239	2977	23.564	0.463398
XM_014742389.1	3217	2955	0	0
XM_014742390.1	3410	3148	11.0137	0.204826
XM_014742391.1	1363	1101	843.175	44.8348
XM_014742392.1	3395	3133	22.1351	0.413623
XM_014742393.1	3380	3118	23.2617	0.436767
XM_014742394.1	3367	3105	8.96813	0.169093
XM_014742395.1	3357	3095	12.6811	0.239872
XM_014742396.1	3339	3077	0	0
XM_014742397.1	3274	3012	0	0
XM_014742398.1	3274	3012	18.4588	0.358785
XM_014742399.1	3265	3003	18.6602	0.363786
XM_014742400.1	3199	2937	12.8366	0.255876
XM_014742401.1	3181	2919	0	0
XM_014742402.1	3160	2898	16.4241	0.331794
XM_014742403.1	3116	2854	19.0755	0.391296
XM_014742404.1	3106	2844	27.851	0.573318
XM_014742405.1	2235	1973	49.6347	1.4728
