target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	990.082	56503	2117.22
NM_001011562.1	863	602.146	412.198	25.3962
NM_001011563.1	2084	1823.08	6077	123.666
NM_001011564.2	1326	1065.08	1552	54.0598
NM_001011565.1	3023	2762.08	426.639	5.73046
NM_001011566.1	1503	1242.08	1.74465	0.0521103
NM_001011567.1	4030	3769.08	8.96721	0.0882648
NM_001011568.1	2077	1816.08	35.4683	0.724553
NM_001011570.1	582	321.586	7646	882.069
NM_001011571.1	2093	1832.08	10.4928	0.212478
NM_001011572.1	2346	2085.08	51510	916.504
NM_001011573.1	3160	2899.08	0	0
NM_001011574.1	1940	1679.08	64	1.41408
NM_001011575.1	2163	1902.08	164.138	3.20145
NM_001011576.1	1195	934.082	119	4.72637
NM_001011577.1	2389	2128.08	1505.32	26.2426
NM_001011578.1	5441	5180.08	19782	141.677
NM_001011579.1	1430	1169.08	215	6.82275
NM_001011580.1	1544	1283.08	19.7441	0.570884
NM_001011581.1	2439	2178.08	387.452	6.59948
NM_001011582.1	356	101.485	112	40.9431
NM_001011583.2	635	374.471	371518	36806.8
NM_001011584.1	1606	1345.08	267.342	7.37367
NM_001011585.1	1638	1377.08	123.328	3.32251
NM_001011586.1	2205	1944.08	0	0
NM_001011587.1	496	235.829	2.04896	0.322331
NM_001011588.1	724	463.249	43	3.44366
NM_001011589.1	624	363.483	1344	137.177
NM_001011590.1	574	313.586	8	0.946453
NM_001011591.1	584	323.575	0	0
NM_001011592.1	1590	1329.08	6576.21	183.565
NM_001011593.1	548	287.606	0	0
NM_001011594.1	4195	3934.08	52.0918	0.491238
NM_001011595.1	2818	2557.08	97	1.40732
NM_001011596.1	4100	3839.08	291.315	2.81514
NM_001011597.1	2673	2412.08	144.537	2.22306
NM_001011598.1	1624	1363.08	21683	590.151
NM_001011599.1	1942	1681.08	7.04401	0.155452
NM_001011600.1	2052	1791.08	408	8.45105
NM_001011601.1	1830	1569.08	58	1.37135
NM_001011602.1	2795	2534.08	1125	16.4702
NM_001011603.1	1683	1422.08	2643.19	68.9555
NM_001011604.3	685	424.308	16336.3	1428.36
NM_001011605.1	1448	1187.08	930	29.0648
NM_001011606.1	1757	1496.08	8	0.198381
NM_001011607.2	381	123.851	570684	170947
NM_001011608.1	1873	1612.08	2228	51.2736
NM_001011610.1	1612	1351.08	94.2013	2.58667
NM_001011611.2	369	112.849	4584.55	1507.18
NM_001011612.1	304	62.4391	3425.45	2035.29
NM_001011613.1	710	449.264	25041	2067.84
NM_001011614.1	688	427.308	9378	814.208
NM_001011615.1	664	403.404	46445	4271.34
NM_001011616.2	680	419.35	5176	457.914
NM_001011617.1	374	117.327	40519	12812.3
NM_001011618.1	523	262.698	341.178	48.1827
NM_001011619.1	1559	1298.08	1482.36	42.3661
NM_001011620.1	957	696.082	2.1312	0.113587
NM_001011621.1	3254	2993.08	14.1204	0.175022
NM_001011622.1	1529	1268.08	54	1.57984
NM_001011623.1	3376	3115.08	0	0
NM_001011624.1	4969	4708.08	173.555	1.3676
NM_001011625.2	1940	1679.08	0	0
NM_001011626.2	755	494.232	4480.85	336.353
NM_001011627.1	2520	2259.08	1084	17.8018
NM_001011628.2	1386	1125.08	2902.69	95.7154
NM_001011629.1	14440	14179.1	3524.25	9.22114
NM_001011630.1	630	369.483	1438.82	144.47
NM_001011631.1	1741	1480.08	68.8206	1.72504
NM_001011632.2	2009	1748.08	9.27778	0.196901
NM_001011633.1	1533	1272.08	262.658	7.66023
NM_001011634.2	3754	3493.08	36.6692	0.389456
NM_001011635.1	1447	1186.08	308	9.63389
NM_001011636.1	570	309.586	3442	412.473
NM_001011637.1	1369	1108.08	0	0
NM_001011638.1	584	323.575	4	0.458617
NM_001011639.2	1806	1545.08	5	0.120056
NM_001011640.1	991	730.082	7750	393.818
NM_001011641.1	970	709.082	347.312	18.1714
NM_001011643.1	2378	2117.08	120.074	2.10414
NM_001011644.2	1200	939.082	94.5598	3.73567
NM_001011650.1	2242	1981.08	18	0.337082
NM_001011652.2	969	708.082	139	7.28277
NM_001011653.2	898	637.126	77.2953	4.50085
NM_001011654.2	749	488.232	1630.1	123.867
NM_001012429.1	672	411.364	1412.26	127.366
NM_001012615.1	1097	836.082	149	6.61155
NM_001012627.1	3153	2892.08	74.9343	0.961248
NM_001012962.1	3606	3345.08	82	0.909437
NM_001012963.1	502	241.782	1	0.153441
NM_001013006.1	2991	2730.08	72.6888	0.987774
NM_001013359.2	1964	1703.08	298.508	6.50258
NM_001013361.1	4113	3852.08	706	6.79947
