target_id	length	eff_length	est_counts	tpm
Caust.v2_017684-RA	486	219.967	347	43.1039
Caust.v2_017683-RA	387	124.19	784	172.494
Caust.v2_017681-RA	1743	1475.63	1404	25.9976
Caust.v2_014750-RA	3774	3506.63	35	0.272723
Caust.v2_018382-RA	1734	1466.63	606.567	11.3006
Caust.v2_018380-RA	7836	7568.63	12	0.0433219
Caust.v2_021948-RA	516	249.627	10	1.09459
Caust.v2_016598-RA	1107	839.632	572.971	18.6461
Caust.v2_016597-RA	1311	1043.63	753.691	19.7328
Caust.v2_016598-RB	1107	839.632	572.971	18.6461
Caust.v2_016599-RA	258	37.9884	19	13.6661
Caust.v2_016601-RA	294	53.2096	57.2468	29.3971
Caust.v2_018332-RA	417	152.44	0	0
Caust.v2_018329-RA	3876	3608.63	78.1021	0.591377
Caust.v2_019455-RA	2721	2453.63	200.559	2.23345
Caust.v2_017592-RA	1668	1400.63	0	0
Caust.v2_022015-RA	618	351.244	9.80006	0.762366
Caust.v2_016262-RA	3312	3044.63	1143	10.2578
Caust.v2_016260-RA	669	402.148	5	0.339725
Caust.v2_016263-RA	6081	5813.63	1324	6.22278
Caust.v2_016261-RA	1890	1622.63	295.967	4.98388
Caust.v2_020608-RA	375	113.342	183	44.117
Caust.v2_011685-RA	10707	10439.6	9	0.023556
Caust.v2_011676-RA	561	294.413	0	0
Caust.v2_011674-RA	2949	2681.63	4189.46	42.6877
Caust.v2_011692-RA	954	686.708	64	2.54655
Caust.v2_011676-RC	756	488.96	409.5	22.8836
Caust.v2_011678-RA	1872	1604.63	1.66652	0.0283777
Caust.v2_011690-RA	1476	1208.63	44071	996.329
Caust.v2_011680-RA	1158	890.632	265	8.13002
Caust.v2_011695-RA	2475	2207.63	1010.54	12.5075
Caust.v2_011676-RB	756	488.96	409.5	22.8836
Caust.v2_012697-RB	516	249.627	383.333	41.9594
Caust.v2_012697-RA	975	707.663	121.556	4.69345
Caust.v2_012700-RA	1116	848.632	3	0.096593
Caust.v2_012697-RC	516	249.627	383.333	41.9594
Caust.v2_012697-RD	516	249.627	383.333	41.9594
Caust.v2_012699-RA	582	315.316	33	2.85965
Caust.v2_012705-RA	744	476.97	9	0.515579
Caust.v2_020418-RA	1068	800.632	0	0
Caust.v2_010071-RA	561	294.413	56	5.19726
Caust.v2_010085-RA	753	485.96	195.659	11.0013
Caust.v2_010080-RA	4215	3947.63	170	1.17667
Caust.v2_010082-RA	1452	1184.63	7	0.161458
Caust.v2_010065-RA	1548	1280.63	569	12.1404
Caust.v2_010079-RC	2280	2012.63	259	3.51625
Caust.v2_010077-RA	873	605.793	924	41.6765
Caust.v2_010075-RA	1236	968.632	175.821	4.95969
Caust.v2_010076-RA	255	37.085	886	652.799
Caust.v2_010063-RA	1956	1688.63	253.506	4.10201
Caust.v2_010069-RA	1194	926.632	2327.5	68.6319
Caust.v2_010079-RA	2280	2012.63	259	3.51625
Caust.v2_010066-RA	2379	2111.63	3623	46.8807
Caust.v2_010079-RB	2280	2012.63	259	3.51625
Caust.v2_010067-RA	6006	5738.63	2217.14	10.5567
Caust.v2_010078-RA	762	494.938	323	17.8318
Caust.v2_010070-RA	1386	1118.63	495	12.091
Caust.v2_010068-RA	846	578.858	2751	129.856
Caust.v2_010067-RB	5664	5396.63	260.859	1.32077
Caust.v2_010069-RB	861	593.858	419	19.2786
Caust.v2_010083-RA	405	141.066	6.1549	1.19218
Caust.v2_010073-RA	3789	3521.63	154.879	1.20169
Caust.v2_010063-RB	543	276.475	68.4942	6.76928
Caust.v2_010069-RC	861	593.858	419	19.2786
Caust.v2_022129-RA	606	339.266	1295.43	104.332
Caust.v2_018144-RA	648	381.182	1	0.0716823
Caust.v2_018142-RA	1713	1445.63	78.5144	1.48401
Caust.v2_018616-RA	2406	2138.63	1412	18.0402
Caust.v2_018617-RA	1476	1208.63	518	11.7106
Caust.v2_019811-RA	822	554.894	1620	79.7717
Caust.v2_008733-RA	2061	1793.63	1230	18.7377
Caust.v2_008711-RD	1050	782.632	12.0274	0.419912
Caust.v2_008716-RA	2760	2492.63	762	8.35297
Caust.v2_008718-RA	2004	1736.63	268	4.21668
Caust.v2_008713-RC	2985	2717.63	320	3.21739
Caust.v2_008713-RA	2985	2717.63	320	3.21739
Caust.v2_008727-RA	1377	1109.63	198	4.87562
Caust.v2_008715-RD	2157	1889.63	1077.5	15.5806
Caust.v2_008736-RA	2124	1856.63	91	1.33924
Caust.v2_008724-RA	1863	1595.63	330	5.651
Caust.v2_008715-RC	2490	2222.63	189.667	2.33167
Caust.v2_008729-RB	2958	2690.63	227	2.30524
Caust.v2_008729-RA	2958	2690.63	227	2.30524
Caust.v2_008711-RC	1050	782.632	12.0274	0.419912
Caust.v2_008711-RA	1050	782.632	12.0274	0.419912
Caust.v2_008719-RA	1380	1112.63	64	1.57171
Caust.v2_008735-RA	4020	3752.63	1501	10.9292
Caust.v2_008713-RB	2985	2717.63	320	3.21739
Caust.v2_008732-RC	1548	1280.63	263.79	5.6283
Caust.v2_008714-RA	1881	1613.63	884	14.969
Caust.v2_008717-RA	1497	1229.63	1	0.0222213
Caust.v2_008715-RE	2157	1889.63	1077.5	15.5806
Caust.v2_008732-RA	1614	1346.63	361.105	7.32704
Caust.v2_008715-RA	2490	2222.63	189.667	2.33167
Caust.v2_008726-RA	486	219.967	314	39.0047
Caust.v2_008732-RB	1614	1346.63	361.105	7.32704
Caust.v2_008730-RA	3675	3407.63	64	0.513182
Caust.v2_008734-RA	1017	749.632	663	24.1662
Caust.v2_008715-RB	2490	2222.63	189.667	2.33167
Caust.v2_008731-RA	3294	3026.63	700	6.31949
Caust.v2_008711-RB	1050	782.632	12.0274	0.419912
Caust.v2_019966-RA	1950	1682.63	25.9112	0.420767
Caust.v2_012988-RA	24711	24443.6	6848	7.65494
Caust.v2_012982-RA	531	264.533	288	29.7479
Caust.v2_012983-RA	546	279.463	233	22.7812
Caust.v2_012983-RB	525	258.561	0	0
Caust.v2_012992-RA	507	240.69	18	2.04342
Caust.v2_012994-RA	1260	992.632	104	2.86279
Caust.v2_018736-RA	333	78.5199	2	0.695976
Caust.v2_018737-RA	1107	839.632	9.8872	0.321757
Caust.v2_013194-RA	1287	1019.63	0	0
Caust.v2_013214-RA	555	288.438	85	8.05211
Caust.v2_013206-RA	1071	803.632	1730	58.821
Caust.v2_013217-RA	1884	1616.63	0	0
Caust.v2_013214-RB	1461	1193.63	232	5.31082
Caust.v2_013210-RA	657	390.173	255	17.8577
Caust.v2_013199-RA	1128	860.632	2991	94.9603
Caust.v2_016495-RA	2208	1940.63	255	3.59038
Caust.v2_016494-RA	1767	1499.63	98	1.7856
Caust.v2_017094-RA	2574	2306.63	278	3.29314
Caust.v2_017093-RA	1200	932.632	299.884	8.78592
Caust.v2_018368-RA	963	695.694	1946	76.4309
Caust.v2_018368-RB	1881	1613.63	791	13.3942
Caust.v2_018723-RA	1308	1040.63	3523	92.5037
Caust.v2_018722-RA	1224	956.632	150.624	4.30224
Caust.v2_021208-RA	708	441.03	0	0
Caust.v2_010950-RA	930	662.752	317	13.0693
Caust.v2_010927-RA	2127	1859.63	945	13.8851
Caust.v2_010917-RA	1116	848.632	34	1.09472
Caust.v2_010943-RA	774	506.917	7721	416.18
Caust.v2_010918-RA	1569	1301.63	654	13.7288
Caust.v2_010945-RA	339	83.1212	26	8.54684
Caust.v2_010929-RA	1884	1616.63	591	9.98896
Caust.v2_010930-RA	7608	7340.63	2659	9.89757
Caust.v2_010942-RA	2310	2042.63	717	9.5912
Caust.v2_010924-RA	297	54.8905	15	7.46685
Caust.v2_010925-RA	5697	5429.63	1014	5.10283
Caust.v2_010946-RA	1773	1505.63	108	1.95997
Caust.v2_010926-RA	2073	1805.63	862	13.0443
Caust.v2_010931-RA	315	65.6978	521	216.686
Caust.v2_010949-RA	627	360.214	108.5	8.23026
Caust.v2_010942-RB	2118	1850.63	0	0
Caust.v2_010949-RB	627	360.214	108.5	8.23026
Caust.v2_010948-RA	1620	1352.63	5	0.101003
Caust.v2_010941-RA	519	252.611	653	70.6327
Caust.v2_010928-RA	627	360.214	1685	127.816
Caust.v2_014956-RA	1587	1319.63	26.8314	0.555565
Caust.v2_018016-RA	1431	1163.63	43.8673	1.03007
Caust.v2_018174-RA	783	515.917	1.60663	0.0850903
Caust.v2_018175-RA	10200	9932.63	162.048	0.445782
Caust.v2_018176-RA	942	674.723	231.173	9.36173
Caust.v2_020859-RA	2205	1937.63	48	0.676883
Caust.v2_022008-RA	546	279.463	0	0
Caust.v2_007800-RA	2010	1742.63	81	1.27006
Caust.v2_007817-RA	2955	2687.63	460	4.67662
Caust.v2_007798-RA	3093	2825.63	1596	15.4334
Caust.v2_007793-RA	4515	4247.63	127	0.81696
Caust.v2_007810-RA	10932	10664.6	815	2.08812
Caust.v2_007807-RA	861	593.858	388	17.8523
Caust.v2_007813-RA	564	297.407	50	4.5937
Caust.v2_007809-RA	348	90.2906	5295	1602.39
Caust.v2_007811-RC	4053	3785.63	327.75	2.36564
Caust.v2_007811-RB	4053	3785.63	327.75	2.36564
Caust.v2_007796-RA	3924	3656.63	411.696	3.07637
Caust.v2_007814-RA	591	324.295	686	57.8
Caust.v2_007811-RA	4053	3785.63	327.75	2.36564
Caust.v2_007805-RA	2319	2051.63	954	12.7055
Caust.v2_007782-RB	396	132.588	2805	578.06
Caust.v2_007782-RA	396	132.588	2805	578.06
Caust.v2_007811-RD	4053	3785.63	327.75	2.36564
Caust.v2_007815-RA	2343	2075.63	265	3.48851
Caust.v2_007800-RC	2010	1742.63	81	1.27006
Caust.v2_007801-RA	210	29.4934	174.5	161.665
Caust.v2_007806-RA	582	315.316	8307	719.851
Caust.v2_007799-RA	2808	2540.63	404	4.34494
Caust.v2_007803-RA	4212	3944.63	674	4.66871
Caust.v2_007804-RA	1413	1145.63	927	22.1095
Caust.v2_007800-RB	2010	1742.63	81	1.27006
Caust.v2_007801-RB	210	29.4934	174.5	161.665
Caust.v2_007791-RA	2286	2018.63	1054	14.2668
Caust.v2_007782-RC	321	69.6661	0	0
Caust.v2_007787-RA	927	659.752	0	0
Caust.v2_007783-RA	1674	1406.63	2095	40.6956
Caust.v2_007810-RB	10932	10664.6	815	2.08812
Caust.v2_007801-RC	522	255.572	1559	166.677
Caust.v2_007788-RA	1047	779.632	1	0.0350473
Caust.v2_007802-RA	1404	1136.63	816	19.6162
Caust.v2_007792-RA	921	653.752	308	12.8731
Caust.v2_007816-RA	936	668.737	567	23.1671
Caust.v2_020081-RA	1170	902.632	146.804	4.44396
Caust.v2_018226-RB	1230	962.632	140.75	3.99514
Caust.v2_018225-RA	465	199.246	27.5805	3.7823
Caust.v2_018226-RA	1230	962.632	140.75	3.99514
Caust.v2_018496-RA	969	701.694	573.375	22.3272
Caust.v2_018498-RA	654	387.173	0	0
Caust.v2_013860-RA	1035	767.632	8	0.284761
Caust.v2_013865-RA	366	105.398	0	0
Caust.v2_013875-RA	1356	1088.63	0	0
Caust.v2_014567-RA	4011	3743.63	2221.5	16.2143
Caust.v2_014568-RA	675	408.148	114	7.63187
Caust.v2_014567-RB	4011	3743.63	2221.5	16.2143
Caust.v2_014569-RB	2067	1799.63	279.085	4.23738
Caust.v2_014569-RC	2067	1799.63	279.085	4.23738
Caust.v2_014569-RA	2067	1799.63	279.085	4.23738
Caust.v2_014570-RA	1656	1388.63	668	13.1442
Caust.v2_017569-RA	2607	2339.63	4674	54.5865
Caust.v2_017567-RA	1773	1505.63	122	2.21404
Caust.v2_018242-RA	789	521.906	19	0.994731
Caust.v2_018537-RA	1167	899.632	416	12.6349
Caust.v2_018536-RA	804	536.906	148.5	7.5574
Caust.v2_018536-RB	804	536.906	148.5	7.5574
Caust.v2_015866-RA	294	53.2096	0	0
Caust.v2_015866-RC	321	69.6661	127.542	50.0235
Caust.v2_015866-RB	384	121.49	11.4584	2.57708
Caust.v2_015865-RA	1581	1313.63	168	3.49445
Caust.v2_015868-RA	1086	818.632	15	0.500664
Caust.v2_006010-RA	546	279.463	288	28.1587
Caust.v2_006032-RA	1119	851.632	4	0.128337
Caust.v2_006002-RA	1998	1730.63	3611	57.012
Caust.v2_006031-RA	444	178.616	221	33.8077
Caust.v2_005989-RA	1968	1700.63	105	1.68703
Caust.v2_006012-RA	558	291.432	475	44.5349
Caust.v2_006020-RA	1122	854.632	2268	72.5116
Caust.v2_006004-RJ	1623	1355.63	186	3.749
Caust.v2_006004-RE	1908	1640.63	320.207	5.33291
Caust.v2_006037-RC	4326	4058.63	170.902	1.15057
Caust.v2_006017-RA	3429	3161.63	1731	14.9599
Caust.v2_006040-RA	2145	1877.63	2213	32.2044
Caust.v2_006025-RA	2022	1754.63	229	3.5661
Caust.v2_006004-RG	1002	734.632	536.206	19.9437
Caust.v2_006037-RB	654	387.173	4.16757	0.294118
Caust.v2_006037-RD	3723	3455.63	185.489	1.46668
Caust.v2_006020-RB	1047	779.632	0	0
Caust.v2_006025-RB	2022	1754.63	229	3.5661
Caust.v2_005991-RA	1623	1355.63	1215	24.4894
Caust.v2_006004-RF	1908	1640.63	320.207	5.33291
Caust.v2_005992-RA	1920	1652.63	0.000524469	8.67137e-06
Caust.v2_006009-RA	1068	800.632	35298	1204.65
Caust.v2_006020-RC	1047	779.632	0	0
Caust.v2_006004-RC	1299	1031.63	97.1284	2.57256
Caust.v2_006015-RA	921	653.752	103	4.30495
Caust.v2_006008-RA	888	620.793	250	11.0037
Caust.v2_006020-RD	1572	1304.63	74	1.54984
Caust.v2_005992-RB	1896	1628.63	53.9995	0.905963
Caust.v2_006004-RH	1623	1355.63	186	3.749
Caust.v2_006018-RA	297	54.8905	343	170.742
Caust.v2_006026-RA	3327	3059.63	3864	34.5074
Caust.v2_006004-RD	1986	1718.63	340.994	5.42135
Caust.v2_006019-RA	1350	1082.63	4515	113.952
Caust.v2_006004-RA	1299	1031.63	97.1284	2.57256
Caust.v2_006024-RA	7428	7160.63	650.479	2.48214
Caust.v2_006030-RA	870	602.806	433	19.627
Caust.v2_006004-RB	1299	1031.63	97.1284	2.57256
Caust.v2_006013-RA	1092	824.632	1375	45.5603
Caust.v2_006039-RA	1458	1190.63	187	4.29149
Caust.v2_005993-RA	1554	1286.63	3448	73.2246
Caust.v2_005985-RA	2523	2255.63	412	4.99083
Caust.v2_006022-RA	2700	2432.63	143	1.60621
Caust.v2_006003-RA	603	336.266	8722	708.724
Caust.v2_006005-RA	1311	1043.63	195	5.10542
Caust.v2_006014-RA	1125	857.632	256	8.1561
Caust.v2_006004-RI	1623	1355.63	186	3.749
Caust.v2_005989-RB	1968	1700.63	105	1.68703
Caust.v2_006037-RA	654	387.173	4.16757	0.294118
Caust.v2_006001-RA	924	656.752	489	20.3447
Caust.v2_005983-RA	825	557.882	431	21.1095
Caust.v2_014336-RA	798	530.906	12798.9	658.716
Caust.v2_014337-RB	186	29.4462	3	2.78379
Caust.v2_014335-RA	672	405.148	841	56.7187
Caust.v2_014334-RA	5445	5177.63	19133.1	100.972
Caust.v2_014337-RA	2319	2051.63	29	0.386227
Caust.v2_011759-RA	1521	1253.63	115.5	2.51742
Caust.v2_011769-RA	3426	3158.63	37	0.320071
Caust.v2_011762-RA	534	267.516	32	3.26847
Caust.v2_011754-RB	2421	2153.63	334.601	4.24522
Caust.v2_011764-RB	2799	2531.63	353.5	3.81534
Caust.v2_011759-RB	1521	1253.63	115.5	2.51742
Caust.v2_011758-RA	2109	1841.63	7765	115.208
Caust.v2_011778-RA	1977	1709.63	0	0
Caust.v2_011764-RA	2799	2531.63	353.5	3.81534
Caust.v2_011766-RA	2091	1823.63	495	7.41672
Caust.v2_011775-RA	978	710.663	1036	39.8327
Caust.v2_011765-RA	2298	2030.63	251	3.37743
Caust.v2_011777-RA	477	211.087	13.25	1.71513
Caust.v2_011776-RA	1248	980.632	0	0
Caust.v2_011761-RA	1140	872.632	26	0.814116
Caust.v2_011754-RA	2421	2153.63	334.601	4.24522
Caust.v2_019714-RA	1422	1154.63	6	0.141988
Caust.v2_021983-RA	315	65.6978	23.1288	9.61935
Caust.v2_017045-RA	10539	10271.6	2624.21	6.98076
Caust.v2_018058-RA	1329	1061.63	17	0.437541
Caust.v2_017594-RA	1608	1340.63	393.059	8.01109
Caust.v2_017595-RA	2280	2012.63	35.1329	0.476972
Caust.v2_016879-RA	327	73.9114	126	46.5804
Caust.v2_016879-RB	819	551.894	80	3.96076
Caust.v2_016879-RC	264	39.9158	53	36.2806
Caust.v2_016879-RD	390	126.977	52	11.1898
Caust.v2_019443-RA	276	44.4768	0	0
Caust.v2_016314-RA	2811	2543.63	80	0.859369
Caust.v2_016312-RA	2796	2528.63	475	5.13277
Caust.v2_016310-RA	357	97.7115	52	14.5412
Caust.v2_017433-RA	1629	1361.63	48.6664	0.976593
Caust.v2_017432-RA	2148	1880.63	276	4.01004
Caust.v2_017804-RA	1470	1202.63	292	6.63428
Caust.v2_017802-RA	2466	2198.63	130	1.6156
Caust.v2_017803-RA	639	372.198	668	49.0395
Caust.v2_020832-RA	627	360.214	0	0
Caust.v2_020536-RA	648	381.182	2.57844	0.184828
Caust.v2_010692-RC	5019	4751.63	196.545	1.13022
Caust.v2_010683-RE	516	249.627	1774.67	194.254
Caust.v2_010684-RA	4803	4535.63	456	2.74708
Caust.v2_010683-RF	1725	1457.63	785	14.7152
Caust.v2_010683-RA	699	432.058	0	0
Caust.v2_010692-RB	5019	4751.63	196.545	1.13022
Caust.v2_010691-RA	2748	2480.63	763.428	8.40911
Caust.v2_010697-RA	885	617.793	101.021	4.46799
Caust.v2_010685-RA	1170	902.632	851	25.761
Caust.v2_010690-RA	786	518.917	61.2764	3.22656
Caust.v2_010695-RA	2238	1970.63	788	10.9261
Caust.v2_010683-RC	516	249.627	1774.67	194.254
Caust.v2_010686-RA	1767	1499.63	1041	18.9675
Caust.v2_010683-RB	699	432.058	0	0
Caust.v2_010687-RA	1341	1073.63	1256.4	31.9755
Caust.v2_010696-RA	2142	1874.63	644	9.38672
Caust.v2_010692-RA	5019	4751.63	196.545	1.13022
Caust.v2_010683-RD	516	249.627	1774.67	194.254
Caust.v2_010682-RA	384	121.49	3581	805.394
Caust.v2_010689-RA	579	312.316	88	7.69897
Caust.v2_010691-RB	2748	2480.63	763.428	8.40911
Caust.v2_010688-RA	1584	1316.63	1048	21.7491
Caust.v2_017300-RA	402	138.218	5	0.988438
Caust.v2_003739-RH	2496	2228.63	0	0
Caust.v2_003769-RA	1032	764.632	192	6.86108
Caust.v2_003739-RB	675	408.148	1955.11	130.887
Caust.v2_003711-RA	615	348.244	1414	110.945
Caust.v2_003796-RA	5619	5351.63	359.875	1.83743
Caust.v2_003745-RA	1062	794.632	79	2.71647
Caust.v2_003739-RD	675	408.148	1955.11	130.887
Caust.v2_003739-RF	1551	1283.63	11.1498	0.237341
Caust.v2_003739-RE	1260	992.632	401.957	11.0646
Caust.v2_003743-RA	1581	1313.63	1431	29.7653
Caust.v2_003703-RA	324	71.7607	11.3976	4.3398
Caust.v2_003735-RA	4494	4226.63	0	0
Caust.v2_003791-RA	3636	3368.63	18	0.146003
