target_id	length	eff_length	est_counts	tpm
Caust.v2_017684-RA	486	224.883	357	57.559
Caust.v2_017683-RA	387	129.25	649	182.061
Caust.v2_017681-RA	1743	1480.73	1534	37.5622
Caust.v2_014750-RA	3774	3511.73	19	0.196171
Caust.v2_018382-RA	1734	1471.73	721.933	17.7857
Caust.v2_018380-RA	7836	7573.73	13	0.0622351
Caust.v2_021948-RA	516	254.597	9	1.28171
Caust.v2_016598-RA	1107	844.73	531.38	22.8081
Caust.v2_016597-RA	1311	1048.73	920.074	31.8098
Caust.v2_016598-RB	1107	844.73	531.38	22.8081
Caust.v2_016599-RA	258	41.0249	22.5	19.8855
Caust.v2_016601-RA	294	57.4317	61.7929	39.0111
Caust.v2_018332-RA	417	157.448	0	0
Caust.v2_018329-RA	3876	3613.73	2.70687e-07	2.7159e-09
Caust.v2_019455-RA	2721	2458.73	77.3437	1.14055
Caust.v2_017592-RA	1668	1405.73	1	0.0257929
Caust.v2_022015-RA	618	356.197	1.63066	0.165987
Caust.v2_016262-RA	3312	3049.73	1614	19.1886
Caust.v2_016260-RA	669	407.12	9	0.801533
Caust.v2_016263-RA	6081	5818.73	1245	7.75787
Caust.v2_016261-RA	1890	1627.73	274.914	6.12373
Caust.v2_020608-RA	375	118.206	179	54.9053
Caust.v2_011685-RA	10707	10444.7	10	0.034714
Caust.v2_011676-RA	561	299.394	0	0
Caust.v2_011674-RA	2949	2686.73	4159.12	56.1279
Caust.v2_011692-RA	954	691.787	63.3006	3.3177
Caust.v2_011676-RC	756	493.933	317	23.2698
Caust.v2_011678-RA	1872	1609.73	11	0.247766
Caust.v2_011690-RA	1476	1213.73	26453	790.232
Caust.v2_011680-RA	1158	895.73	207	8.37905
Caust.v2_011695-RA	2475	2212.73	864.919	14.1726
Caust.v2_011676-RB	756	493.933	317	23.2698
Caust.v2_012697-RB	516	254.597	332.667	47.3759
Caust.v2_012697-RA	975	712.759	129.565	6.59093
Caust.v2_012700-RA	1116	853.73	0	0
Caust.v2_012697-RC	516	254.597	332.667	47.3759
Caust.v2_012697-RD	516	254.597	332.667	47.3759
Caust.v2_012699-RA	582	320.32	16	1.81108
Caust.v2_012705-RA	744	481.943	7	0.526628
Caust.v2_020418-RA	1068	805.73	0	0
Caust.v2_010071-RA	561	299.394	68	8.23508
Caust.v2_010085-RA	753	490.933	129.096	9.5344
Caust.v2_010080-RA	4215	3952.73	141	1.29337
Caust.v2_010082-RA	1452	1189.73	16	0.487611
Caust.v2_010065-RA	1548	1285.73	487	13.7335
Caust.v2_010079-RC	2280	2017.73	360.333	6.47505
Caust.v2_010077-RA	873	610.867	840	49.8579
Caust.v2_010075-RA	1236	973.73	193.016	7.18713
Caust.v2_010076-RA	255	39.866	670	609.36
Caust.v2_010063-RA	1956	1693.73	250.651	5.36571
Caust.v2_010069-RA	1194	931.73	1145.46	44.575
Caust.v2_010079-RA	2280	2017.73	360.333	6.47505
Caust.v2_010066-RA	2379	2116.73	2207	37.8041
Caust.v2_010079-RB	2280	2017.73	360.333	6.47505
Caust.v2_010067-RA	6006	5743.73	1612.28	10.1776
Caust.v2_010078-RA	762	499.933	222	16.1006
Caust.v2_010070-RA	1386	1123.73	411	13.2612
Caust.v2_010068-RA	846	583.891	349	21.6718
