target_id	length	eff_length	est_counts	tpm
NM_001280889.2	1545	1284.29	20498	767.265
NM_001280894.1	1381	1120.29	13662.6	586.272
NM_001280899.1	999	738.292	2	0.130227
NM_001280901.1	942	681.292	0	0
NM_001280904.1	984	723.292	8	0.531709
NM_001280909.1	291	55.8929	22823	19629.7
NM_001280911.1	7738	7477.29	27438	176.403
NM_001280916.1	1360	1099.29	533.731	23.3403
NM_001280918.1	1638	1377.29	782.136	27.2994
NM_001280921.1	1476	1215.29	1164	46.0437
NM_001280924.1	1251	990.292	109.34	5.30778
NM_001280926.1	1557	1296.29	1306	48.4326
NM_001280933.1	1873	1612.29	16667	496.949
NM_001280936.1	1406	1145.29	831	34.8805
NM_001285398.1	1134	873.292	5759.25	317.033
NM_001286444.1	969	708.292	2823.69	191.647
NM_001287563.1	1107	846.292	207.788	11.8031
NM_001287565.1	1166	905.292	8.58316	0.455781
NM_001304440.1	5067	4806.29	296.188	2.96248
NM_001308306.1	3681	3420.29	502.571	7.0637
NM_001308307.1	2113	1852.29	1453	37.7098
NM_001331111.1	4730	4469.29	27	0.290417
NM_001353392.1	3997	3736.29	153.748	1.97818
XM_003392812.4	1315	1054.29	643	29.3189
XM_003392813.4	2070	1809.29	728	19.3428
XM_003392814.4	2620	2359.29	547	11.1456
XM_003392815.4	953	692.292	1760	122.214
XM_003392816.4	2707	2446.29	808.694	15.8918
XM_003392817.4	2519	2258.29	1992.7	42.419
XM_003392820.4	881	620.359	396.216	30.7034
XM_003392823.4	1322	1061.29	133.273	6.03679
XM_003392825.4	1052	791.292	3122.52	189.699
XM_003392827.4	663	402.453	3458	413.055
XM_003392828.4	733	472.411	3771.59	383.797
XM_003392829.4	601	340.524	2090.41	295.109
XM_003392833.3	518	257.665	4453	830.797
XM_003392834.4	3424	3163.29	945	14.3612
XM_003392835.4	1812	1551.29	1395	43.2293
XM_003392836.4	2565	2304.29	1975.12	41.2054
XM_003392838.4	843	582.359	1850.51	152.756
XM_003392839.4	619	358.489	92.4943	12.4033
XM_003392840.4	1378	1117.29	801	34.4638
XM_003392841.4	3696	3435.29	442.987	6.19905
XM_003392844.4	5548	5287.29	0	0
XM_003392845.4	1516	1255.29	2614	100.106
XM_003392846.4	2989	2728.29	700	12.334
XM_003392849.4	4893	4632.29	63.4886	0.658867
XM_003392850.4	2892	2631.29	26294	480.38
XM_003392854.4	8415	8154.29	330	1.94547
XM_003392855.4	2753	2492.29	165.235	3.18714
XM_003392856.4	17877	17616.3	136	0.371127
XM_003392877.4	8284	8023.29	0	0
XM_003392880.4	1406	1145.29	9703.01	407.275
XM_003392883.4	2861	2600.29	508	9.39159
XM_003392884.4	2186	1925.29	1485	37.079
XM_003392885.4	720	459.411	200.793	21.011
XM_003392887.4	4596	4335.29	5401.73	59.898
XM_003392890.4	3508	3247.29	480.242	7.10946
XM_003392894.4	1287	1026.29	5044.56	236.293
XM_003392895.4	771	510.411	1383	130.257
XM_003392896.4	3301	3040.29	785	12.4123
XM_003392897.4	627	366.489	11025	1446.15
XM_003392899.4	1955	1694.29	857.231	24.3224
XM_003392903.4	1132	871.292	2043.99	112.775
XM_003392904.4	7180	6919.29	62.351	0.433191
XM_003392906.4	3855	3594.29	266.96	3.57051
XM_003392907.4	1803	1542.29	7127	222.146
XM_003392909.4	3367	3106.29	4701	72.7521
XM_003392911.4	5721	5460.29	1.38065e-08	1.21553e-10
XM_003392912.3	9120	8859.29	124.999	0.678273
XM_003392913.4	3649	3388.29	22888.9	324.744
XM_003392915.4	1934	1673.29	531.677	15.2747
XM_003392916.4	497	236.715	11.1907	2.27263
XM_003392917.4	551	290.585	29.3273	4.85173
XM_003392920.4	476	215.94	6	1.33572
XM_003392921.4	1428	1167.29	84.6727	3.48708
XM_003392922.4	427	167.739	116.809	33.4766
XM_003392929.3	935	674.292	269	19.1779
XM_003392930.4	819	558.359	1202	103.488
XM_003392931.4	4325	4064.29	4075.46	48.2047
XM_003392932.4	14091	13830.3	2467.2	8.57571
XM_003392933.4	1515	1254.29	290	11.1147
XM_003392935.4	1401	1140.29	236	9.94933
XM_003392936.4	9199	8938.29	175.733	0.945142
XM_003392937.4	860	599.359	2268	181.909
XM_003392939.4	1049	788.292	356.938	21.7673
XM_003392940.4	872	611.359	206.41	16.2305
XM_003392941.4	1142	881.292	2932.68	159.971
XM_003392944.3	1950	1689.29	840	23.9041
XM_003392945.4	834	573.359	1316	110.338
XM_003392946.4	752	491.411	643.57	62.9577
XM_003392947.4	1144	883.292	230	12.5176
XM_003392950.4	2610	2349.29	180.348	3.69038
XM_003392951.4	1370	1109.29	1396	60.4975
XM_003392954.4	2305	2044.29	2382.01	56.0142
XM_003392957.3	1899	1638.29	0	0
XM_003392958.4	1422	1161.29	302	12.5015
XM_003392959.4	1544	1283.29	160.729	6.02095
XM_003392960.4	1317	1056.29	28.3412	1.28983
XM_003392961.4	834	573.359	2013.71	168.837
XM_003392962.4	750	489.411	177	17.3859
XM_003392963.4	1591	1330.29	1083	39.1362
XM_003392967.4	428	168.739	622	177.204
XM_003392969.4	1389	1128.29	670	28.5464
XM_003392972.3	1978	1717.29	445	12.457
XM_003392974.4	4422	4161.29	106.74	1.23309
XM_003392980.4	3242	2981.29	393.045	6.33776
XM_003392982.4	4770	4509.29	5989.93	63.8573
XM_003392984.4	2249	1988.29	728.591	17.6158
XM_003392985.4	3256	2995.29	3715	59.6235
XM_003392987.4	2124	1863.29	1822	47.0073
XM_003392988.4	2202	1941.29	181.831	4.50271
XM_003392990.4	3830	3569.29	2974.63	40.0635
XM_003392992.4	1069	808.292	308	18.3181
XM_003392994.4	4376	4115.29	2074.04	24.2278
XM_003392996.3	1067	806.292	631.307	37.6397
XM_003392997.4	1127	866.292	245.163	13.6047
XM_003392999.4	5026	4765.29	24	0.242114
XM_003393000.3	6070	5809.29	540	4.46857
XM_003393003.4	2793	2532.29	961.278	18.2487
XM_003393005.4	1212	951.292	5591.72	282.572
XM_003393010.4	2013	1752.29	0	0
XM_003393011.4	2018	1757.29	1061.18	29.0296
XM_003393012.4	2682	2421.29	10737.4	213.181
XM_003393013.4	2682	2421.29	6552.49	130.094
XM_003393014.4	5272	5011.29	1225	11.7512
XM_003393016.4	1797	1536.29	128.852	4.03195
XM_003393019.4	1665	1404.29	1098	37.5874
XM_003393020.4	2309	2048.29	8716.08	204.563
XM_003393021.4	1993	1732.29	10580	293.604
XM_003393022.4	735	474.411	9608	973.59
XM_003393023.4	1984	1723.29	2952.77	82.3699
XM_003393025.4	2258	1997.29	746	17.9554
XM_003393027.4	5667	5406.29	832	7.39812
XM_003393028.4	2360	2099.29	819	18.7546
XM_003393029.4	1310	1049.29	759	34.7731
XM_003393030.4	6422	6161.29	926.596	7.22963
XM_003393032.4	6619	6358.29	527.424	3.98765
XM_003393035.4	9493	9232.29	429.635	2.23711
XM_003393036.4	9524	9263.29	0.101912	0.000528881
XM_003393039.4	4385	4124.29	1720	20.0483
XM_003393041.4	843	582.359	607	50.1067
XM_003393042.4	17058	16797.3	139	0.397808
XM_003393049.4	2228	1967.29	995.201	24.3186
XM_003393050.4	919	658.359	14510	1059.5
XM_003393056.4	4485	4224.29	1155.91	13.1543
XM_003393058.4	2926	2665.29	852.346	15.3734
XM_003393062.4	2703	2442.29	141.213	2.77954
XM_003393063.4	2915	2654.29	48.2659	0.874158
XM_003393066.4	991	730.292	115.568	7.60742
XM_003393067.4	453	193.186	58	14.4328
XM_003393068.4	1558	1297.29	413.56	15.3249
XM_003393071.4	3119	2858.29	3674.61	61.802
XM_003393076.4	1203	942.292	2102	107.237
XM_003393080.4	624	363.489	437.808	57.9015
XM_003393081.4	2498	2237.29	5255	112.914
XM_003393082.4	614	353.489	517	70.3091
XM_003393088.4	13216	12955.3	430.953	1.59912
XM_003393090.4	4921	4660.29	0	0
XM_003393092.4	2080	1819.29	469.363	12.4023
XM_003393093.4	689	428.411	2210	247.987
XM_003393094.4	5477	5216.29	15.9731	0.147206
XM_003393097.4	3241	2980.29	288.676	4.65639
XM_003393098.4	1338	1077.29	1	0.0446236
XM_003393110.4	683	422.411	9	1.02425
XM_003393111.4	3233	2972.29	13	0.210257
XM_003393116.4	3440	3179.29	41	0.619942
XM_003393117.4	3111	2850.29	82	1.383
XM_003393118.4	4945	4684.29	8039.32	82.5037
XM_003393120.4	3854	3593.29	133	1.77933
XM_003393122.4	6628	6367.29	37.1406	0.280409
XM_003393123.4	1400	1139.29	5	0.210976
XM_003393124.3	5126	4865.29	47	0.464394
XM_003393125.4	3521	3260.29	1000.42	14.7511
XM_003393126.4	3034	2773.29	741.368	12.851
XM_003393127.4	1357	1096.29	221	9.69089
