TXNAME	GENEID
Caust.v2_021726-RA	Caust.v2_021726
Caust.v2_021703-RA	Caust.v2_021703
Caust.v2_020148-RA	Caust.v2_020148
Caust.v2_017682-RA	Caust.v2_017682
Caust.v2_017684-RA	Caust.v2_017684
Caust.v2_017683-RA	Caust.v2_017683
Caust.v2_017681-RA	Caust.v2_017681
Caust.v2_021501-RA	Caust.v2_021501
Caust.v2_022275-RA	Caust.v2_022275
Caust.v2_014758-RA	Caust.v2_014758
Caust.v2_014750-RA	Caust.v2_014750
Caust.v2_014755-RA	Caust.v2_014755
Caust.v2_014754-RA	Caust.v2_014754
Caust.v2_014749-RA	Caust.v2_014749
Caust.v2_014748-RA	Caust.v2_014748
Caust.v2_014747-RA	Caust.v2_014747
Caust.v2_014751-RA	Caust.v2_014751
Caust.v2_014752-RA	Caust.v2_014752
Caust.v2_014756-RA	Caust.v2_014756
Caust.v2_014760-RA	Caust.v2_014760
Caust.v2_014757-RA	Caust.v2_014757
Caust.v2_014753-RA	Caust.v2_014753
Caust.v2_014759-RA	Caust.v2_014759
Caust.v2_018382-RA	Caust.v2_018382
Caust.v2_018380-RA	Caust.v2_018380
Caust.v2_018381-RA	Caust.v2_018381
Caust.v2_018383-RA	Caust.v2_018383
Caust.v2_021667-RA	Caust.v2_021667
Caust.v2_022263-RA	Caust.v2_022263
Caust.v2_021948-RA	Caust.v2_021948
Caust.v2_018103-RA	Caust.v2_018103
Caust.v2_018105-RA	Caust.v2_018105
Caust.v2_018104-RA	Caust.v2_018104
Caust.v2_018106-RA	Caust.v2_018106
Caust.v2_021016-RA	Caust.v2_021016
Caust.v2_016600-RA	Caust.v2_016600
Caust.v2_016598-RA	Caust.v2_016598
Caust.v2_016597-RA	Caust.v2_016597
Caust.v2_016595-RA	Caust.v2_016595
Caust.v2_016598-RB	Caust.v2_016598
Caust.v2_016596-RA	Caust.v2_016596
Caust.v2_016599-RA	Caust.v2_016599
Caust.v2_016601-RA	Caust.v2_016601
Caust.v2_018332-RA	Caust.v2_018332
Caust.v2_018329-RA	Caust.v2_018329
Caust.v2_018331-RA	Caust.v2_018331
Caust.v2_018330-RA	Caust.v2_018330
Caust.v2_021597-RA	Caust.v2_021597
Caust.v2_019455-RA	Caust.v2_019455
Caust.v2_020187-RA	Caust.v2_020187
Caust.v2_020186-RA	Caust.v2_020186
Caust.v2_017588-RA	Caust.v2_017588
Caust.v2_017590-RA	Caust.v2_017590
Caust.v2_017589-RA	Caust.v2_017589
Caust.v2_017587-RA	Caust.v2_017587
Caust.v2_017586-RA	Caust.v2_017586
Caust.v2_017592-RA	Caust.v2_017592
Caust.v2_017591-RA	Caust.v2_017591
Caust.v2_022015-RA	Caust.v2_022015
Caust.v2_016262-RA	Caust.v2_016262
Caust.v2_016259-RA	Caust.v2_016259
Caust.v2_016260-RA	Caust.v2_016260
Caust.v2_016257-RA	Caust.v2_016257
Caust.v2_016263-RA	Caust.v2_016263
Caust.v2_016261-RA	Caust.v2_016261
Caust.v2_016258-RA	Caust.v2_016258
Caust.v2_016256-RA	Caust.v2_016256
Caust.v2_019468-RA	Caust.v2_019468
